ID_Startup,Nome_Real,Nome_Anonimizado,Setor_Industria,Premissa_Inicial_Input,Status_Real,Motivo_Real_Gabarito,Rotulo_Categorico,Desfecho_Previsto_IA,URL_Fonte
S01,Airbnb,Plataforma de hospedagem entre pessoas,TravelTech Marketplace,"A tese inicial era conectar viajantes a anfitriões locais para transformar espaços ociosos em hospedagem alternativa. O problema era o alto custo e a padronização limitada dos hotéis tradicionais para certos perfis de viagem. A solução oferecia reservas flexíveis, variedade de acomodações e experiência mais local. O modelo de receita previa comissão sobre cada reserva concluída.",Sucesso,"O negócio encontrou forte tração ao resolver uma dor real de oferta e demanda no mercado de hospedagem, com efeito de rede entre anfitriões e viajantes. A expansão global e a confiança construída no marketplace foram fatores decisivos.",Efeito de Rede,[Deixar em Branco para o Experimento],https://www.slideshare.net/slideshow/airbnb-first-pitch-deck-editable/45768374
S02,Uber,Plataforma de mobilidade sob demanda,Mobility / Marketplace,"A tese inicial era conectar passageiros a motoristas por aplicativo para reduzir fricção e tempo de espera no transporte urbano. O problema era a ineficiência do táxi tradicional e a dificuldade de obter mobilidade confiável em tempo real. A solução combinava geolocalização, despacho algorítmico e pagamento integrado. O modelo de receita previa comissão sobre corridas e expansão por categorias de serviço.",Sucesso,"A empresa construiu grande escala ao combinar utilidade diária, liquidez de mercado e expansão geográfica agressiva. O produto se fortaleceu com alto uso recorrente e forte retenção de demanda.",Efeito de Rede,[Deixar em Branco para o Experimento],https://www.uber.com/newsroom/our-story/
S03,Nubank,Banco digital com experiência totalmente app-based,FinTech / Digital Banking,"A tese inicial era atacar a baixa qualidade percebida e as altas tarifas dos bancos tradicionais com uma experiência financeira simples e digital. O problema era a fricção, a falta de transparência e o mau atendimento no sistema bancário incumbente. A solução oferecia cartão e conta sem agência, com controle total pelo celular. O modelo de receita previa intermediação financeira, crédito e serviços bancários digitais.",Sucesso,"O negócio prosperou ao se posicionar contra uma dor massiva do consumidor e construir confiança com uma experiência superior. A adoção rápida e a expansão do portfólio reforçaram o moat de marca e base de clientes.",Product-Market Fit,[Deixar em Branco para o Experimento],https://www.reuters.com/article/us-brazil-nubank-idUSKBN1WQ26C
S04,Stripe,Infraestrutura de pagamentos para a internet,FinTech B2B,"A tese inicial era remover a complexidade técnica dos pagamentos online para desenvolvedores e empresas digitais. O problema era a dificuldade de integrar cobrança, checkout e processamento financeiro em produtos digitais. A solução oferecia APIs simples para aceitar pagamentos com menos atrito. O modelo de receita previa take rate sobre transações e serviços de infraestrutura financeira.",Sucesso,"A empresa venceu ao se tornar infraestrutura essencial para comércio digital, com alta aderência a desenvolvedores e forte expansão do ecossistema. A utilidade transversal sustentou recorrência e escala.",Infraestrutura / Switching Costs,[Deixar em Branco para o Experimento],https://stripe.com/customers/figma
S05,Slack,Plataforma de comunicação corporativa,SaaS B2B,"A tese inicial era reduzir a dependência de e-mail e centralizar conversas de trabalho em um único ambiente. O problema era a fragmentação da comunicação entre ferramentas, equipes e projetos. A solução combinava canais organizados, integrações e busca de mensagens. O modelo de receita previa assinaturas por usuário em camadas pagas.",Sucesso,"O produto ganhou adoção pela dor clara que resolvia e pelo alto engajamento em equipes, ampliando valor conforme mais usuários e integrações entravam na plataforma. A lógica de colaboração criou retenção e expansão orgânica.",Product-Market Fit,[Deixar em Branco para o Experimento],https://techcrunch.com/2014/02/12/slack-exits-beta/
S06,Figma,Ferramenta colaborativa de design em nuvem,Creative SaaS,"A tese inicial era permitir que equipes criassem e revisassem interfaces de forma colaborativa, sem dependência de arquivos locais. O problema era o fluxo de design isolado e pouco integrado entre designers, desenvolvedores e produto. A solução reunia edição em tempo real, compartilhamento e trabalho multiplataforma. O modelo de receita previa assinatura por usuário e planos corporativos.",Sucesso,"A empresa construiu vantagem com colaboração nativa no navegador e forte retenção entre times de produto. A presença em fluxo de trabalho crítico ampliou adoção e dependência operacional.",Efeito de Rede,[Deixar em Branco para o Experimento],https://stripe.com/customers/figma
S07,Canva,Plataforma online de design gráfico simplificado,Creative SaaS,"A tese inicial era democratizar design visual para usuários sem formação técnica. O problema era a complexidade de softwares profissionais para pequenas empresas, criadores e times não especializados. A solução oferecia templates, edição simples e colaboração online. O modelo de receita previa freemium com planos pagos e recursos premium.",Sucesso,"A startup prosperou ao reduzir drasticamente barreiras de uso e ampliar o público total endereçável. A combinação de acessibilidade, viralidade e expansão de casos de uso sustentou escala.",Product-Market Fit,[Deixar em Branco para o Experimento],https://www.canva.com/newsroom/news/canva-story/
S08,Spotify,Plataforma de streaming de música por assinatura,MediaTech SaaS,"A tese inicial era oferecer acesso instantâneo e legal a catálogo musical amplo com experiência digital simples. O problema era a pirataria e a fricção para consumir música sob demanda. A solução combinava streaming, descoberta algorítmica e acesso multiplataforma. O modelo de receita previa assinaturas e publicidade no plano gratuito.",Sucesso,"A empresa venceu ao alinhar conveniência, catálogo e hábito de consumo recorrente, tornando-se referência do setor. A escala de usuários e parcerias com gravadoras consolidou o moat.",Escala / Distribuição,[Deixar em Branco para o Experimento],https://newsroom.spotify.com/company-info/
S09,Shopify,Infraestrutura para e-commerce e lojas próprias,SaaS / Commerce Infrastructure,"A tese inicial era facilitar a criação de lojas virtuais para pequenos e médios negócios. O problema era a complexidade técnica e operacional de vender online sem infraestrutura própria. A solução combinava loja hospedada, pagamentos, temas e ferramentas de gestão. O modelo de receita previa assinatura recorrente e serviços transacionais.",Sucesso,"A plataforma cresceu ao se tornar infraestrutura essencial para empreendedores digitais, com forte integração ao ecossistema de comércio. A recorrência e o volume transacional sustentaram expansão.",Infraestrutura / Switching Costs,[Deixar em Branco para o Experimento],https://www.shopify.com/about
S10,WhatsApp,Mensageria instantânea móvel,Consumer Internet,"A tese inicial era simplificar comunicação móvel com foco em mensagens rápidas, baratas e globais. O problema era a dependência de SMS caro e pouco integrado entre dispositivos. A solução oferecia chat leve, multiplataforma e alta confiabilidade. O modelo de receita inicial priorizava adoção ampla e depois monetização estratégica.",Sucesso,"O produto atingiu adoção massiva pela simplicidade, baixa fricção e utilidade diária, consolidando um hábito global de comunicação. A escala de rede reforçou seu valor com o tempo.",Efeito de Rede,[Deixar em Branco para o Experimento],https://blog.whatsapp.com/
