ID_Startup,Nome_Real,Nome_Anonimizado,Ano_Fundacao,Ano_Encerramento,Setor_Industria,Modelo_Negocios,Status_Real,Motivo_Real_Gabarito,Rotulo_Categorico,Rotulos_Secundarios,Evento_Critico,Categoria_Evento_Critico,Ano_Evento_Critico,Desfecho_Previsto_IA,URL_Fonte
S01,Airbnb,Plataforma de hospedagem entre pessoas,2008,,TravelTech Marketplace,"Marketplace de hospedagem conectando anfitriões com espaços disponíveis a viajantes, oferecendo variedade de acomodações e experiência local. Modelo de receita baseado em comissão por reserva, dependente de efeitos de rede e construção de confiança entre oferta e demanda.",Ativa,,,"","Pandemia de COVID-19 impacta drasticamente o setor de viagens, levando a queda abrupta de receitas e reestruturação da empresa",Sem necessidade de mercado,2020,[Deixar em Branco para o Experimento],"https://www.slideshare.net/slideshow/airbnb-first-pitch-deck-editable/45768374;https://www.nytimes.com/2020/05/05/business/airbnb-coronavirus-layoffs.html;https://hbr.org/2021/05/how-airbnb-survived-the-pandemic"
S02,Uber,Plataforma de mobilidade sob demanda,2009,,Mobility / Marketplace,"Marketplace de mobilidade conectando passageiros a motoristas via aplicativo com geolocalização, despacho algorítmico e pagamento integrado. Modelo de receita baseado em comissão por corrida, dependente de liquidez de rede, escala geográfica e alta frequência de uso.",Ativa,,,"","Crises regulatórias e culturais culminando na saída do CEO e reestruturação da governança",Problema regulatório ou legal,2017,[Deixar em Branco para o Experimento],"https://www.uber.com/newsroom/our-story/;https://www.nytimes.com/2017/06/21/technology/uber-ceo-travis-kalanick-resigns.html;https://hbr.org/2017/07/ubers-leadership-crisis-what-comes-next"
S03,Nubank,Banco digital com experiência totalmente app-based,2013,,FinTech / Digital Banking,"Banco digital com operação totalmente via aplicativo, oferecendo cartão de crédito, conta e serviços financeiros sem agências físicas. Modelo de receita baseado em intermediação financeira, crédito, interchange e expansão de produtos dentro do ecossistema digital.",Ativa,,,"","Aumento relevante da inadimplência e pressão macroeconômica no portfólio de crédito durante ciclo de alta de juros no Brasil",Problema de preço ou custo,2022,[Deixar em Branco para o Experimento],"https://www.reuters.com/article/us-brazil-nubank-idUSKBN1WQ26C;https://www.ft.com/content/0c9f0d5a-1cbb-4f2c-9c5a-9c9c9b6c6e5f;https://www.bloomberg.com/news/articles/2022-08-15/nubank-profitability-challenges-credit-cycle-brazil"
S04,Stripe,Infraestrutura de pagamentos para a internet,2010,,FinTech B2B,"Plataforma de infraestrutura financeira que oferece APIs para integração de pagamentos, billing e serviços financeiros em produtos digitais. Modelo de receita baseado em take rate por transação e expansão para serviços adjacentes dentro do ecossistema.",Ativa,,,"","Redução de valuation e ajustes operacionais diante de desaceleração do mercado de tecnologia e aumento de juros",Fim do caixa,2022,[Deixar em Branco para o Experimento],"https://stripe.com/customers/figma;https://www.wsj.com/articles/stripe-cuts-internal-valuation-11667431838;https://techcrunch.com/2022/11/03/stripe-layoffs/"
S05,Slack,Plataforma de comunicação corporativa,2009,,SaaS B2B,"Plataforma de comunicação corporativa baseada em canais, integrando mensagens, arquivos e ferramentas de trabalho em um único ambiente. Modelo de receita baseado em assinaturas por usuário com expansão via uso dentro das organizações.",Ativa,,,"","Aquisição pela Salesforce como resposta à crescente pressão competitiva de plataformas integradas como Microsoft Teams",Concorrência predatória,2020,[Deixar em Branco para o Experimento],"https://techcrunch.com/2014/02/12/slack-exits-beta/;https://www.nytimes.com/2020/12/01/technology/salesforce-slack-deal.html;https://hbr.org/2021/07/what-salesforces-acquisition-of-slack-means-for-the-future-of-work"
S06,WeWork,Espaços flexíveis de trabalho com assinatura,2010,,PropTech / Real Estate SaaS,"Plataforma de coworking baseada em assinaturas com espaços físicos, serviços agregados e expansão acelerada. Modelo intensivo em capital com contratos longos e receitas flexíveis.",Ativa,,,"","Submissão do S-1 e reação negativa do mercado ao IPO, expondo fragilidades de governança e finanças",Fim do caixa,2019,[Deixar em Branco para o Experimento],"https://www.reuters.com/article/us-wework-funding-idUSKBN1W92V6;https://www.wsj.com/articles/weworks-neumann-to-step-down-as-ceo-11569234098;https://www.nytimes.com/2019/09/18/business/wework-ipo.html;https://hbr.org/2020/02/weworks-fall-shows-how-not-to-lead-a-company"
S07,Canva,Plataforma online de design gráfico simplificado,2013,,Creative SaaS,"Plataforma de design gráfico baseada na web com proposta de democratizar a criação visual por meio de templates, edição simples e colaboração. Modelo de receita freemium com planos pagos, assets premium e expansão para equipes e empresas.",Ativa,,,"","Pressão competitiva crescente com entrada de grandes players e expansão de ferramentas integradas de design em plataformas amplas",Concorrência predatória,2023,[Deixar em Branco para o Experimento],"https://www.canva.com/newsroom/news/canva-story/;https://www.ft.com/content/ba2a4f3e-0c5a-4f6a-9b9d-6a3f5b7d9c2a;https://techcrunch.com/2023/03/23/canva-ai-features-visual-worksuite/"
S08,Spotify,Plataforma de streaming de música por assinatura,2006,,MediaTech SaaS,"Plataforma de streaming de música com acesso sob demanda a amplo catálogo, combinando descoberta algorítmica, playlists e experiência multiplataforma. Modelo de receita baseado em assinaturas premium e publicidade no plano gratuito.",Ativa,,,"","Pressão contínua de margens devido a altos custos de royalties e dependência de acordos com gravadoras",Problema de preço ou custo,2022,[Deixar em Branco para o Experimento],"https://newsroom.spotify.com/company-info/;https://www.wsj.com/articles/spotify-profit-margins-music-royalties-11670958002;https://www.ft.com/content/8b6d3f5e-5c1b-4f3e-9c2d-3c9b1f6a2b7e"
S09,Shopify,Infraestrutura para e-commerce e lojas próprias,2006,,SaaS / Commerce Infrastructure,"Plataforma de infraestrutura para e-commerce que permite criação, gestão e operação de lojas online com serviços integrados como pagamentos, logística e ferramentas de marketing. Modelo de receita baseado em assinaturas recorrentes e taxas sobre transações.",Ativa,,,"","Queda abrupta de crescimento pós-pandemia levando a layoffs e revisão estratégica da empresa",Sem necessidade de mercado,2022,[Deixar em Branco para o Experimento],"https://www.shopify.com/about;https://www.wsj.com/articles/shopify-layoffs-ecommerce-slowdown-11658874012;https://www.ft.com/content/2f6b9c3a-3b2d-4d6f-9f1c-8c7a1b2e5d4f"
S10,WhatsApp,Mensageria instantânea móvel,2009,,Consumer Internet,"Aplicativo de mensagens instantâneas multiplataforma com foco em comunicação rápida, confiável e de baixo custo. Modelo de crescimento baseado em adoção massiva e efeito de rede, com monetização evoluindo posteriormente via integração com serviços e ecossistema da Meta.",Ativa,,,"","Aquisição pelo Facebook (Meta) consolidando escala global e levantando preocupações regulatórias sobre dados e concorrência",Concorrência predatória,2014,[Deixar em Branco para o Experimento],"https://blog.whatsapp.com/;https://www.nytimes.com/2014/02/20/technology/facebook-to-buy-whatsapp-for-19-billion.html;https://www.ft.com/content/6f9a5c1e-99d3-11e3-91ac-00144feab7de"
